# Original shape: (22920, 4, 3)
# Slice 0
4148.00,128.00,128.00
15762.00,86.00,86.00
15761.00,79.00,79.00

# Slice 94
4143.00,123.00,123.00
15713.00,125.00,125.00
15714.00,129.00,129.00
4148.00,128.00,128.00

# Slice 95
4148.00,128.00,128.00
15714.00,129.00,129.00
22107.00,87.00,87.00
15762.00,86.00,86.00

# Slice 96
4149.00,130.00,130.00
4153.00,131.00,131.00
4154.00,132.00,132.00
4150.00,133.00,133.00

# Slice 97
4150.00,133.00,133.00
4154.00,132.00,132.00
16281.00,134.00,134.00
16280.00,135.00,135.00

# Slice 98
4153.00,131.00,131.00
15764.00,99.00,99.00
15763.00,98.00,98.00
4154.00,132.00,132.00

# Slice 99
4154.00,132.00,132.00
15763.00,98.00,98.00
22191.00,101.00,101.00
16281.00,134.00,134.00

# Slice 100
4149.00,130.00,130.00
4150.00,133.00,133.00
4155.00,136.00,136.00
4151.00,137.00,137.00

# Slice 101
4151.00,137.00,137.00
4155.00,136.00,136.00
15769.00,138.00,138.00
15770.00,139.00,139.00

# Slice 102
4150.00,133.00,133.00
16280.00,135.00,135.00
16279.00,140.00,140.00
4155.00,136.00,136.00

# Slice 103
4155.00,136.00,136.00
16279.00,140.00,140.00
22193.00,141.00,141.00
15769.00,138.00,138.00

# Slice 104
4149.00,130.00,130.00
4151.00,137.00,137.00
4156.00,142.00,142.00
4152.00,143.00,143.00

# Slice 105
4152.00,143.00,143.00
4156.00,142.00,142.00
15733.00,144.00,144.00
15734.00,145.00,145.00

# Slice 106
4151.00,137.00,137.00
15770.00,139.00,139.00
15771.00,146.00,146.00
4156.00,142.00,142.00

# Slice 107
4156.00,142.00,142.00
15771.00,146.00,146.00
22115.00,147.00,147.00
15733.00,144.00,144.00

# Slice 108
4149.00,130.00,130.00
4152.00,143.00,143.00
4157.00,148.00,148.00
4153.00,131.00,131.00

# Slice 109
4153.00,131.00,131.00
4157.00,148.00,148.00
15765.00,106.00,106.00
15764.00,99.00,99.00

# Slice 110
4152.00,143.00,143.00
15734.00,145.00,145.00
15735.00,149.00,149.00
4157.00,148.00,148.00

# Slice 111
4157.00,148.00,148.00
15735.00,149.00,149.00
22114.00,107.00,107.00
15765.00,106.00,106.00

# Slice 112
4158.00,150.00,150.00
4162.00,151.00,151.00
4163.00,152.00,152.00
4159.00,153.00,153.00

# Slice 113
4159.00,153.00,153.00
4163.00,152.00,152.00
16284.00,154.00,154.00
16283.00,155.00,155.00

# Slice 114
4162.00,151.00,151.00
15767.00,119.00,119.00
15766.00,118.00,118.00
4163.00,152.00,152.00

# Slice 115
4163.00,152.00,152.00
15766.00,118.00,118.00
22192.00,121.00,121.00
16284.00,154.00,154.00

# Slice 116
4158.00,150.00,150.00
4159.00,153.00,153.00
4164.00,156.00,156.00
4160.00,157.00,157.00

# Slice 117
4160.00,157.00,157.00
4164.00,156.00,156.00
15772.00,158.00,158.00
15773.00,159.00,159.00

# Slice 118
4159.00,153.00,153.00
16283.00,155.00,155.00
16282.00,160.00,160.00
4164.00,156.00,156.00

# Slice 119
4164.00,156.00,156.00
16282.00,160.00,160.00
22194.00,161.00,161.00
15772.00,158.00,158.00

# Slice 120
4158.00,150.00,150.00
4160.00,157.00,157.00
4165.00,162.00,162.00
4161.00,163.00,163.00

# Slice 121
4161.00,163.00,163.00
4165.00,162.00,162.00
15715.00,164.00,164.00
15716.00,165.00,165.00

# Slice 122
4160.00,157.00,157.00
15773.00,159.00,159.00
15774.00,166.00,166.00
4165.00,162.00,162.00

# Slice 123
4165.00,162.00,162.00
15774.00,166.00,166.00
22109.00,167.00,167.00
15715.00,164.00,164.00

# Slice 124
4158.00,150.00,150.00
4161.00,163.00,163.00
4166.00,168.00,168.00
4162.00,151.00,151.00

# Slice 125
4162.00,151.00,151.00
4166.00,168.00,168.00
15768.00,126.00,126.00
15767.00,119.00,119.00

# Slice 126
4161.00,163.00,163.00
15716.00,165.00,165.00
15717.00,169.00,169.00
4166.00,168.00,168.00

# Slice 127
4166.00,168.00,168.00
15717.00,169.00,169.00
22108.00,127.00,127.00
15768.00,126.00,126.00

# Slice 128
4167.00,170.00,170.00
4171.00,171.00,171.00
4172.00,172.00,172.00
4168.00,173.00,173.00

# Slice 129
4168.00,173.00,173.00
4172.00,172.00,172.00
16287.00,174.00,174.00
16286.00,175.00,175.00

# Slice 130
4171.00,171.00,171.00
15770.00,139.00,139.00
15769.00,138.00,138.00
4172.00,172.00,172.00

# Slice 131
4172.00,172.00,172.00
15769.00,138.00,138.00
22193.00,141.00,141.00
16287.00,174.00,174.00

# Slice 132
4167.00,170.00,170.00
4168.00,173.00,173.00
4173.00,176.00,176.00
4169.00,177.00,177.00

# Slice 133
4169.00,177.00,177.00
4173.00,176.00,176.00
15775.00,178.00,178.00
15776.00,179.00,179.00

# Slice 134
4168.00,173.00,173.00
16286.00,175.00,175.00
16285.00,180.00,180.00
4173.00,176.00,176.00

# Slice 135
4173.00,176.00,176.00
16285.00,180.00,180.00
22195.00,181.00,181.00
15775.00,178.00,178.00

# Slice 136
4167.00,170.00,170.00
4169.00,177.00,177.00
4174.00,182.00,182.00
4170.00,183.00,183.00

# Slice 137
4170.00,183.00,183.00
4174.00,182.00,182.00
15736.00,184.00,184.00
15737.00,185.00,185.00

# Slice 138
4169.00,177.00,177.00
15776.00,179.00,179.00
15777.00,186.00,186.00
4174.00,182.00,182.00

# Slice 139
4174.00,182.00,182.00
15777.00,186.00,186.00
22116.00,187.00,187.00
15736.00,184.00,184.00

# Slice 140
4167.00,170.00,170.00
4170.00,183.00,183.00
4175.00,188.00,188.00
4171.00,171.00,171.00

# Slice 141
4171.00,171.00,171.00
4175.00,188.00,188.00
15771.00,146.00,146.00
15770.00,139.00,139.00

# Slice 142
